String ID,enu,Comment
system-messages.system.cluster.checker.notavailable,Unable to run cluster check tool as clustering is disabled., 
system-messages.system.cluster.started,"Cluster started, name: {0}", 
system-messages.system.cluster.member_joined,Member joined: {0}, 
system-messages.system.cluster.member_left,Member left: {0}, 
system-messages.system.cluster.curr_members,Current cluster members, 
system-messages.system.cluster.member,{0} (hostname: {1}), 
system-messages.system.cluster.shutdown,Clustering has shutdown., 
system-messages.system.cluster.loopback_not_recommended,Cluster is using loopback address {0} - not recommended., 
system-messages.system.cluster.loopback_not_in_conf,"Cluster address {0} may only be used if explicitly configured, e.g. alfresco.cluster.interface={0}", 
system-messages.system.cluster.err.bad_ip,Cluster is using unacceptable IP address: {0}, 
system-messages.system.cluster.err.cannot_send_msg,Unable to send message, 
system-messages.system.cluster.err.server_not_found,Server not found: {0}, 
system-messages.system.cluster.drop_invalidating_caches.member_joined,Cluster member joined: dropping invalidating caches., 
system-messages.system.cluster.drop_invalidating_caches.member_left,Cluster member left: dropping invalidating caches., 
system-messages.system.cluster.drop_invalidating_caches.disabled,Cluster members changed but cache dropping is disabled (doing nothing)., 
system-messages.system.openoffice.info.connection_verified,The connection to OpenOffice has been established., 
system-messages.system.openoffice.err.connection_failed,An initial OpenOffice connection could not be established., 
system-messages.system.openoffice.err.connection_lost,The OpenOffice connection has been lost., 
system-messages.system.openoffice.err.connection_remade,The OpenOffice connection was re-established., 
system-messages.system.locks.err.failed_to_acquire_lock,Failed to get lock '{0}' using token '{1}'., 
system-messages.system.locks.err.lock_resource_missing,Failed to manipulate lock '{0}' using token '{1}'.  The lock resource no longer exists., 
system-messages.system.locks.err.lock_update_count,Failed to update lock '{0}' using token '{1}'.  {2} locks were updated when {3} should have been., 
system-messages.system.locks.err.failed_to_release_lock,Failed to release lock '{0}' using token '{1}'.  The lock has expired and been taken by another process., 
system-messages.system.locks.err.excl_lock_exists,Failed to get lock '{0}' using token '{1}'.  An exclusive lock exists: {2}, 
system-messages.system.mt.warn.upgrade_mt_admin_context,Please update your alfresco/extension/mt/mt-admin-context.xml (to use latest alfresco/extension/mt/mt-admin-context.xml.sample)., 
system-messages.system.mt.disabled,Tenant is disabled: {0}, 
system-messages.system.usage.err.no_txn,RepoUsageComponent must be called in a transaction., 
system-messages.system.usage.err.no_txn_readwrite,RepoUsageComponent must be called in a read-write transaction., 
system-messages.system.usage.warn.limit_users_approached,The allowable user limit of {0} as per your license agreement is being approached.  There are {1} users in the system. Please contact your Alfresco sales representative to purchase additional user licenses., 
system-messages.system.usage.warn.limit_users_reached,The allowable user limit of {0} as per your license agreement has been reached.  There are {1} users in the system. Please contact your Alfresco sales representative to purchase additional user licenses., 
system-messages.system.usage.warn.limit_documents_approached,The allowable content limit of {0} is being approached.  There are {1} content objects in the system., 
system-messages.system.usage.warn.limit_documents_reached,The allowable content limit of {0} has been reached.  There are {1} content objects in the system., 
system-messages.system.usage.err.limit_users_exceeded,The allowable user limit of {0} as per your license agreement has been exceeded.  There are currently {1} users in the system. Please contact your Alfresco sales representative to purchase additional user licenses., 
system-messages.system.usage.err.limit_users_exceeded_verbose,The allowable user limit of {0} as per your license agreement has been exceeded. Users added: {1}. Please contact your Alfresco sales representative to purchase additional user licenses., 
system-messages.system.usage.warn.limit_users_overage,"The allowable user limit of {0} for your license agreement has been reached. There are {1} users in the system, {2} are temporarily permitted. Please contact your Alfresco sales representative to purchase additional user licenses.", 
system-messages.system.usage.err.limit_documents_exceeded,The allowable content limit of {0} has been exceeded.  There are currently {1} content objects in the system., 
system-messages.system.usage.err.limit_license_expiring,The Alfresco Content Services license will expire in {0} days., 
system-messages.system.usage.err.limit_license_expired,The Alfresco Content Services license has expired., 
system-messages.system.portcheck.err.empty_port,The value for {0} port property cannot be empty., 
system-messages.system.portcheck.err.parse_port,Unable to parse value for {0} port property: {1}., 
system-messages.system.portcheck.err.port_out_of_bounds,"The port chosen for {0} is outside the required range (1, 65535): {1}.", 
system-messages.system.portcheck.err.ports_out_of_bounds,"The following ports chosen for {0} are outside the required range (1, 65535): {1}.", 
system-messages.system.portcheck.err.port_in_use,The port chosen for {0} is already in use or you don't have permission to use it: {1}., 
system-messages.system.portcheck.err.host_port_in_use,The address chosen for {0} is already in use or you don't have permission: {1}:{2}., 
system-messages.system.portcheck.err.ports_in_use,The following ports chosen for {0} are already in use or you don't have permission to use them: {1}., 
