String ID,enu,Comment
capability-service.capability.group.folderControl.title,Folder Control, 
capability-service.capability.CreateModifyDestroyFolders.title,Create Modify Destroy Folders, 
capability-service.capability.CloseFolders.title,Close Folders, 
capability-service.capability.ReOpenFolders.title,Re-Open Folders, 
capability-service.capability.DeclareRecordsInClosedFolders.title,Complete Records in Closed Folders, 
capability-service.capability.group.vitalRecords.title,Vital Records, 
capability-service.capability.UpdateVitalRecordCycleInformation.title,Update Vital Record Cycle Information, 
capability-service.capability.CycleVitalRecords.title,Cycle Vital Records, 
capability-service.capability.PlanningReviewCycles.title,Planning Review Cycles, 
capability-service.capability.group.references.title,References, 
capability-service.capability.ChangeOrDeleteReferences.title,Change or Delete References, 
capability-service.capability.group.events.title,Events, 
capability-service.capability.CreateModifyDestroyEvents.title,Create Modify Destroy Events, 
capability-service.capability.AddModifyEventDates.title,Add Modify Event Dates, 
capability-service.capability.group.cutoff.title,Cut Off, 
capability-service.capability.ApproveRecordsScheduledForCutoff.title,Approve Records Scheduled for Cut Off, 
capability-service.capability.CreateModifyRecordsInCutoffFolders.title,Create Modify Records in Cut Off Folders, 
capability-service.capability.group.dispositionAndTransfers.title,Retention and Transfers, 
capability-service.capability.UpdateTriggerDates.title,Update Trigger Dates, 
capability-service.capability.ManuallyChangeDispositionDates.title,Manually Change Retention Dates, 
capability-service.capability.AuthorizeNominatedTransfers.title,Authorize Nominated Transfers, 
capability-service.capability.AuthorizeAllTransfers.title,Authorize All Transfers, 
capability-service.capability.DestroyRecordsScheduledForDestruction.title,Destroy Record or Record Folder Scheduled for Destruction, 
capability-service.capability.DestroyRecords.title,Destroy Records, 
capability-service.capability.DeleteRecords.title,Delete Records, 
capability-service.capability.TriggerAnEvent.title,Trigger an Event, 
capability-service.capability.FileDestructionReport.title,File Destruction Report, 
capability-service.capability.FileTransferReport.title,File Transfer Report, 
capability-service.capability.EndRetention.title,End Retention, 
capability-service.capability.group.holdControls.title,Hold Controls, 
capability-service.capability.ExtendRetentionPeriodOrFreeze.title,Extend Retention Period or Freeze, 
capability-service.capability.Unfreeze.title,Unfreeze, 
